date,Apple Inc.
2025-02-16,0
2025-02-23,43
2025-03-02,30
2025-03-09,0
2025-03-16,31
2025-03-23,0
2025-03-30,33
2025-04-06,0
2025-04-13,0
2025-04-20,27
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,33
2025-05-25,0
2025-06-01,61
2025-06-08,0
2025-06-15,0
2025-06-22,35
2025-06-29,26
2025-07-06,0
2025-07-13,0
2025-07-20,36
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,28
2025-09-14,0
2025-09-21,34
2025-09-28,0
2025-10-05,36
2025-10-12,0
2025-10-19,0
2025-10-26,32
2025-11-02,47
2025-11-09,56
2025-11-16,29
2025-11-23,69
2025-11-30,73
2025-12-07,92
2025-12-14,54
2025-12-21,34
2025-12-28,68
2026-01-04,61
2026-01-11,58
2026-01-18,78
2026-01-25,50
2026-02-01,100
2026-02-08,39
2026-02-15,73
