,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-21536323.158136,0.0,-436443.197521,0.0,0.0,
Tax Rate For Calcs,0.25669,0.257738,0.256731,0.253722,0.255255,
Normalized EBITDA,4813100000.0,4705100000.0,5172400000.0,4747600000.0,5733300000.0,
Total Unusual Items,-83900000.0,,-1700000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-83900000.0,,-1700000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Reconciled Depreciation,362500000.0,375400000.0,383700000.0,411300000.0,417300000.0,
Reconciled Cost Of Revenue,4463100000.0,4456300000.0,7466900000.0,4398600000.0,5093100000.0,
EBITDA,4729200000.0,4705100000.0,5170700000.0,4747600000.0,5733300000.0,
EBIT,4366700000.0,4329700000.0,4787000000.0,4336300000.0,5316000000.0,
Net Interest Income,208100000.0,-10200000.0,722200000.0,-11100000.0,553100000.0,
Interest Expense,9700000.0,10200000.0,10800000.0,11100000.0,11500000.0,
Interest Income,217800000.0,,733000000.0,0.0,564600000.0,
Normalized Income,3300963676.841864,3206200000.0,3551263556.802479,3227800000.0,3950500000.0,
Net Income From Continuing And Discontinued Operation,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Total Expenses,10671400000.0,10056100000.0,9896000000.0,10389800000.0,11535900000.0,
Diluted Average Shares,271922754.0,271942324.0,,271929233.0,272073003.0,272032885.0
Basic Average Shares,271922754.0,271942324.0,,271929233.0,272073003.0,272032885.0
Diluted EPS,11.91,11.79,,11.87,14.52,13.38
Basic EPS,11.91,11.79,,11.87,14.52,13.38
Diluted NI Availto Com Stockholders,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Net Income Common Stockholders,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Net Income Including Noncontrolling Interests,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Net Income Continuous Operations,3238600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,
Tax Provision,1118400000.0,1113300000.0,1226200000.0,1097400000.0,1354000000.0,
Pretax Income,4357000000.0,4319500000.0,4776200000.0,4325200000.0,5304500000.0,
Other Non Operating Income Expenses,175000000.0,179400000.0,-546000000.0,204000000.0,195200000.0,
Special Income Charges,-83900000.0,,-1700000.0,0.0,0.0,0.0
Other Special Charges,83900000.0,,,,,
Restructuring And Mergern Acquisition,,,,,,0.0
Net Non Operating Interest Income Expense,208100000.0,-10200000.0,722200000.0,-11100000.0,553100000.0,
Interest Expense Non Operating,9700000.0,10200000.0,10800000.0,11100000.0,11500000.0,
Interest Income Non Operating,217800000.0,,733000000.0,0.0,564600000.0,
Operating Income,4057800000.0,4150300000.0,4624200000.0,4132300000.0,4556200000.0,
Operating Expense,6208300000.0,5599800000.0,2429100000.0,5991200000.0,6442800000.0,
Other Operating Expenses,2731100000.0,2292500000.0,-2552500000.0,2586900000.0,2513800000.0,
Depreciation And Amortization In Income Statement,362500000.0,375400000.0,383700000.0,411300000.0,417300000.0,
Depreciation Income Statement,362500000.0,375400000.0,383700000.0,411300000.0,417300000.0,
Selling General And Administration,2068400000.0,1884100000.0,3561600000.0,2001000000.0,2427200000.0,
Selling And Marketing Expense,2068400000.0,1884100000.0,3477700000.0,2001000000.0,2427200000.0,
Gross Profit,10266100000.0,9750100000.0,7053300000.0,10123500000.0,10999000000.0,
Cost Of Revenue,4463100000.0,4456300000.0,7466900000.0,4398600000.0,5093100000.0,
Total Revenue,14729200000.0,14206400000.0,14520200000.0,14522100000.0,16092100000.0,
Operating Revenue,14729200000.0,14206400000.0,14520200000.0,14522100000.0,16092100000.0,
