Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-04-23 17:00:00-04:00,2.6,,
2026-02-04 16:00:00-05:00,2.64,2.82,7.01
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
2025-07-23 16:00:00-04:00,2.19,2.31,5.67
2025-04-24 16:00:00-04:00,2.01,2.81,40.1
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2024-10-29 16:00:00-04:00,1.85,2.12,14.83
2024-07-23 16:00:00-04:00,1.85,1.89,2.4
2024-04-25 16:00:00-04:00,1.51,1.89,24.98
2024-01-30 16:00:00-05:00,1.6,1.64,2.75
2023-10-24 16:00:00-04:00,1.45,1.55,6.74
2023-07-25 16:00:00-04:00,1.34,1.44,7.23
2023-04-25 16:00:00-04:00,1.07,1.17,9.52
2023-02-02 16:00:00-05:00,1.19,1.05,-11.87
2022-10-25 16:00:00-04:00,1.25,1.06,-15.27
2022-07-26 16:00:00-04:00,1.27,1.21,-5.05
2022-04-26 16:00:00-04:00,1.29,1.23,-4.43
2022-02-01 16:00:00-05:00,1.36,1.53,12.65
2021-10-26 16:00:00-04:00,1.17,1.4,20.02
2021-07-27 16:00:00-04:00,0.96,1.36,41.37
2021-04-27 16:00:00-04:00,0.78,1.31,67.76
2021-02-02 16:00:00-05:00,0.79,1.12,41.85
2020-10-29 16:00:00-04:00,0.56,0.82,46.24
2020-07-30 16:00:00-04:00,0.41,0.51,24.14
2020-04-28 16:00:00-04:00,0.51,0.49,-3.38
